SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
5015,"260","1","Gear","Books/Ideas book","1990","Idea Book",,,,4.25,,,"http://images.brickset.com/sets/images/260-1.jpg","No","No",0
1362,"315","1","Basic","","1990","Basic Building Set, 3+",,62,,,,,"http://images.brickset.com/sets/images/315-1.jpg","No","No",0
1413,"325","1","Basic","","1990","Basic Building Set, 3+",1,104,,,,,"http://images.brickset.com/sets/images/325-1.jpg","No","No",0
1479,"335","2","Basic","","1990","Basic Building Set, 3+",,99,,,,,"http://images.brickset.com/sets/images/335-2.jpg","No","No",0
1712,"365","2","Basic","","1990","Basic Building Set, 3+",1,602,,,,,,"No","No",0
1837,"385","2","Basic","","1990","Basic Building Set, 3+",2,438,,,,,"http://images.brickset.com/sets/images/385-2.jpg","No","No",0
8631,"395","2","Basic","","1990","Build-N-Store Chest",,535,,,,,"http://images.brickset.com/sets/images/395-2.jpg","No","No",0
2543,"515","1","Basic","","1990","Basic Building Set, 5+",,111,,,,,"http://images.brickset.com/sets/images/515-1.jpg","No","No",0
2643,"525","1","Basic","","1990","Basic Building Set, 5+",1,181,,,,,"http://images.brickset.com/sets/images/525-1.jpg","No","No",0
2720,"535","1","Basic","","1990","Basic Building Set, 5+",2,345,,,,,"http://images.brickset.com/sets/images/535-1.jpg","No","No",0
2785,"545","1","Basic","","1990","Basic Building Set, 5+",2,408,,,,,"http://images.brickset.com/sets/images/545-1.jpg","No","No",0
2823,"565","2","Basic","","1990","Basic Building Set, 5+",2,364,,,,,"http://images.brickset.com/sets/images/565-2.jpg","No","No",0
3816,"715","1","Basic","","1990","Basic Building Set, 7+",,395,,,,,"http://images.brickset.com/sets/images/715-1.jpg","No","No",0
3863,"725","1","Basic","","1990","Basic Building Set, 7+",2,319,,,,,"http://images.brickset.com/sets/images/725-1.jpg","No","No",0
3900,"735","1","Basic","","1990","Basic Building Set, 7+",,537,,,,,"http://images.brickset.com/sets/images/735-1.jpg","No","No",0
4132,"818","1","Basic","Supplementaries","1990","Pull-Back Motor, Red",,8,,12.25,,,"http://images.brickset.com/sets/images/818-1.jpg","No","No",0
4143,"821","1","Basic","Supplementaries","1990","Brick Separator, Grey",,1,,2.25,,,"http://images.brickset.com/sets/images/821-1.jpg","No","No",0
10102,"1482","1","Duplo","","1990","Panda and Friends",,26,,,,,,"No","No",0
416,"1559","1","Duplo","","1990","Clown Car",1,4,,,,,"http://images.brickset.com/sets/images/1559-1.jpg","No","No",0
419,"1560","1","Town","Special","1990","Glory Glider",1,22,,,,,"http://images.brickset.com/sets/images/1560-1.jpg","No","No",0
421,"1561","1","Town","Special","1990","Stunt Chopper",1,31,,,,,"http://images.brickset.com/sets/images/1561-1.jpg","No","No",0
423,"1562","1","Town","Special","1990","Wave Jumper",1,25,,,,,"http://images.brickset.com/sets/images/1562-1.jpg","No","No",0
424,"1563","1","Town","Special","1990","Track Blaster",1,30,,,,,"http://images.brickset.com/sets/images/1563-1.jpg","No","No",0
5198,"1581","2","Town","Special","1990","Arla Milk Delivery Truck",1,119,,,,,"http://images.brickset.com/sets/images/1581-2.jpg","No","No",0
466,"1630","1","Town","Flight","1990","Helicopter",,27,,,,,"http://images.brickset.com/sets/images/1630-1.jpg","No","No",0
467,"1631","1","Town","Racing","1990","Black Race Car",,23,,,,,"http://images.brickset.com/sets/images/1631-1.jpg","No","No",0
468,"1632","1","Town","Boats","1990","Speedboat",,28,,,,,"http://images.brickset.com/sets/images/1632-1.jpg","No","No",0
469,"1633","1","Town","Construction","1990","Mini Loader",,24,,,,,"http://images.brickset.com/sets/images/1633-1.jpg","No","No",0
470,"1636","1","Basic","","1990","Handy Bucket of Bricks, 3+",1,184,,,,,"http://images.brickset.com/sets/images/1636-1.jpg","No","No",0
471,"1637","1","Basic","","1990","Basic Building Set, 3+",2,491,,,,,,"No","No",0
472,"1638","1","Basic","","1990","Basic Set",,450,,,,,"http://images.brickset.com/sets/images/1638-1.jpg","No","No",0
10103,"1639","1","Basic","","1990","Basic Building Set, 5+",,669,,,,,,"No","No",0
491,"1657","1","Duplo","","1990","Duplo Building Set",,6,,,,,"http://images.brickset.com/sets/images/1657-1.jpg","No","No",0
494,"1665","1","Town","Racing","1990","Dual FX Racers",3,108,,8.75,,,"http://images.brickset.com/sets/images/1665-1.jpg","No","No",0
8420,"1672","1","Duplo","","1990","Circus Building Set",2,18,,,,,"http://images.brickset.com/sets/images/1672-1.jpg","No","No",0
10104,"1674","1","Duplo","","1990","Pre-School Bucket",1,100,,,,,,"No","No",0
499,"1675","1","Assorted","Bonus/Value Pack","1990","Three Set Bonus Pack",,165,,10,,,"http://images.brickset.com/sets/images/1675-1.jpg","No","No",0
6465,"1676","1","Basic","","1990","Basic Building Set, 3+",,22,,,,,"http://images.brickset.com/sets/images/1676-1.jpg","No","No",0
502,"1677","1","Basic","Seasonal","1990","Rabbit",,25,,,,,"http://images.brickset.com/sets/images/1677-1.jpg","No","No",0
6466,"1679","1","Basic","","1990","Basic Building Set, 5+",,43,,,,,"http://images.brickset.com/sets/images/1679-1.jpg","No","No",0
504,"1680","1","Castle","Forestmen","1990","Crusader's Cart",3,67,,,,,"http://images.brickset.com/sets/images/1680-1.jpg","No","No",0
505,"1682","1","Town","Flight","1990","Space Shuttle Launch",3,423,,,,,"http://images.brickset.com/sets/images/1682-1.jpg","No","No",0
506,"1684","1","Duplo","","1990","DUPLO Bucket",3,51,,,,,,"No","No",0
22585,"1685","2","Duplo","","1990","XL Bucket",,,,,,,,"No","No",0
509,"1690","1","Town","Special","1990","Helicopter",,27,,,,,"http://images.brickset.com/sets/images/1690-1.jpg","No","No",0
10106,"1691","1","Town","Special","1990","Racer",,23,,,,,,"No","No",0
10107,"1692","1","Town","Special","1990","Tractor Loader",,24,,,,,,"No","No",0
636,"1875","1","Space","Blacktron","1990","Meteor Monitor",1,32,,,,,"http://images.brickset.com/sets/images/1875-1.jpg","No","No",0
637,"1876","1","Town","Maintenance","1990","Soil Scooper",2,73,,,,,"http://images.brickset.com/sets/images/1876-1.jpg","No","No",0
638,"1877","1","Castle","Forestmen","1990","Crusader's Cart",2,60,,,,,"http://images.brickset.com/sets/images/1877-1.jpg","No","No",0
