SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
9581,"54","1","Space","UFO","1997","UFO Action Pack",,96,,,,,"http://images.brickset.com/sets/images/54-1.jpg","No","No",0
3739,"697","2","Gear","Books/Ideas book","1997","Building Ideas Book",,,,,,,"http://images.brickset.com/sets/images/697-2.jpg","No","No",0
558,"1739","1","Duplo","","1997","Penguin",,8,,,,,"http://images.brickset.com/sets/images/1739-1.jpg","No","No",0
22454,"1781","1","Duplo","","1997","Dino Babies",,90,,,,,,"No","No",0
581,"1782","1","Town","Divers","1997","Discovery Station",5,322,,50,,,"http://images.brickset.com/sets/images/1782-1.jpg","No","No",0
582,"1783","1","Primo","","1997","Primo Rattle",,2,,1,,,"http://images.brickset.com/sets/images/1783-1.jpg","No","No",0
612,"1824","1","Basic","","1997","Flying Duck",1,17,,,,,"http://images.brickset.com/sets/images/1824-1.jpg","No","No",0
613,"1825","1","Basic","","1997","Racing Car",,19,,,,,"http://images.brickset.com/sets/images/1825-1.jpg","No","No",0
614,"1826","1","Basic","","1997","Bird? Boat? Plane?",,19,,,,,"http://images.brickset.com/sets/images/1826-1.jpg","No","No",0
615,"1827","1","Basic","","1997","Helicopter",,19,,,,,"http://images.brickset.com/sets/images/1827-1.jpg","No","No",0
22455,"1867","1","Basic","","1997","Medium Bulk Bucket",,400,,,,,,"No","No",0
4930,"2003","1","Primo","","1997","Jumbo Building Bag",1,80,,20,,,,"No","No",0
22456,"2009","2","Primo","","1997","Large Bulk Box",,25,,,,,,"No","No",0
712,"2010","1","Primo","","1997","Baby Walker",1,14,,30,,,"http://images.brickset.com/sets/images/2010-1.jpg","No","No",0
763,"2081","1","Primo","","1997","Stack 'n' Learn Starter Set",,6,,4,,,,"No","No",0
4938,"2083","1","Primo","","1997","Medium Stack 'n' Learn Set",1,8,,8,,,,"No","No",0
766,"2085","1","Primo","","1997","Frederick Frog",,13,,10,,,,"No","No",0
4939,"2087","1","Primo","","1997","Polly Parrot Storage Bird",,18,,15,,,,"No","No",0
768,"2089","1","Primo","","1997","Stack 'n' Learn Gift Set",1,23,,20,,,,"No","No",0
771,"2093","1","Primo","","1997","The Ladybird Rattle",,1,,,,,,"No","No",0
772,"2094","1","Primo","","1997","Cozy Duck",,2,,,,,,"No","No",0
773,"2095","1","Primo","","1997","Roll 'n' Play Ball",,2,,5,,,,"No","No",0
774,"2096","1","Primo","","1997","Stack-a-Mouse",,6,,9,,,,"No","No",0
775,"2097","1","Primo","","1997","Caterpillar and Friends",,3,,10,,,"http://images.brickset.com/sets/images/2097-1.jpg","No","No",0
776,"2098","1","Primo","","1997","Bathtime Boat",1,2,,10,,,,"No","No",0
777,"2099","1","Primo","","1997","The Shape Sorter",,10,,15,,,,"No","No",0
784,"2121","1","Basic","","1997","Stomper",,11,,,,,"http://images.brickset.com/sets/images/2121-1.jpg","No","No",0
785,"2122","1","Basic","","1997","Bob",,14,,,,,"http://images.brickset.com/sets/images/2122-1.jpg","No","No",0
786,"2123","1","Basic","","1997","Spinner",,12,,,,,"http://images.brickset.com/sets/images/2123-1.jpg","No","No",0
787,"2124","1","Duplo","","1997","Green Bucket",1,39,,,,,"http://images.brickset.com/sets/images/2124-1.jpg","No","No",0
22457,"2125","1","Duplo","","1997","Large Bucket",1,70,,,,,,"No","No",0
788,"2126","1","Trains","9 V","1997","Train Cars",5,378,,69.5,,,"http://images.brickset.com/sets/images/2126-1.jpg","No","No",0
789,"2127","1","Basic","","1997","Nanas",,13,,,,,"http://images.brickset.com/sets/images/2127-1.jpg","No","No",0
790,"2129","1","Technic","","1997","Blast-Off Dragster",,63,,7,,,"http://images.brickset.com/sets/images/2129-1.jpg","No","No",0
796,"2135","1","Basic","","1997","Aeroplane",,9,,,,,"http://images.brickset.com/sets/images/2135-1.jpg","No","No",0
797,"2136","1","Basic","","1997","Aeroplane",,11,,,,,"http://images.brickset.com/sets/images/2136-1.jpg","No","No",0
798,"2137","1","Basic","","1997","Swamp Boat",,8,,,,,"http://images.brickset.com/sets/images/2137-1.jpg","No","No",0
799,"2138","1","Basic","","1997","Helicopter",,8,,,,,"http://images.brickset.com/sets/images/2138-1.jpg","No","No",0
800,"2139","1","Basic","","1997","Boat",,12,,,,,"http://images.brickset.com/sets/images/2139-1.jpg","No","No",0
802,"2147","1","Town","Special","1997","Dragon Fly",2,183,,28,,,"http://images.brickset.com/sets/images/2147-1.jpg","No","No",0
803,"2148","1","Town","Vehicles","1997","LEGO Truck",1,105,,11,,,"http://images.brickset.com/sets/images/2148-1.jpg","No","No",0
804,"2149","1","Town","Special","1997","Color Line Container Lorry",1,191,,,,,"http://images.brickset.com/sets/images/2149-1.jpg","No","No",0
806,"2151","1","Space","RoboForce","1997","Robo Raider",1,136,,12,,,"http://images.brickset.com/sets/images/2151-1.jpg","No","No",0
807,"2152","1","Space","RoboForce","1997","Robo Raptor",1,221,,20,,,"http://images.brickset.com/sets/images/2152-1.jpg","No","No",0
808,"2153","1","Space","RoboForce","1997","Robo Stalker",2,280,,30,,,"http://images.brickset.com/sets/images/2153-1.jpg","No","No",0
809,"2154","1","Space","RoboForce","1997","Robo Master",2,366,,36,,,"http://images.brickset.com/sets/images/2154-1.jpg","No","No",0
814,"2160","1","Aquazone","Aquaraiders","1997","Crystal Scavenger",1,110,,15,,,"http://images.brickset.com/sets/images/2160-1.jpg","No","No",0
815,"2161","1","Aquazone","Aquaraiders","1997","Aqua Dozer",1,136,,25,,,"http://images.brickset.com/sets/images/2161-1.jpg","No","No",0
816,"2162","1","Aquazone","Aquaraiders","1997","Hydro Reef Wrecker",2,287,,40,,,"http://images.brickset.com/sets/images/2162-1.jpg","No","No",0
817,"2163","1","Basic","","1997","Toucan",,9,,,,,"http://images.brickset.com/sets/images/2163-1.jpg","No","No",0
818,"2164","1","Basic","","1997","Whale",,9,,,,,"http://images.brickset.com/sets/images/2164-1.jpg","No","No",0
819,"2165","1","Basic","","1997","Rhinocerous",,10,,,,,"http://images.brickset.com/sets/images/2165-1.jpg","No","No",0
820,"2166","1","Basic","","1997","Elephant",,10,,,,,"http://images.brickset.com/sets/images/2166-1.jpg","No","No",0
821,"2167","1","Basic","","1997","Penguin",,8,,,,,"http://images.brickset.com/sets/images/2167-1.jpg","No","No",0
22458,"2168","1","Primo","","1997","Rattle",,2,,,,,,"No","No",0
822,"2181","1","Town","Special","1997","Infomaniac",1,4,,,,,"http://images.brickset.com/sets/images/2181-1.jpg","No","No",0
22459,"2184","1","Basic","","1997","XL Bulk Bucket",,1000,,,,,,"No","No",0
823,"2186","1","Freestyle","","1997","Freestyle Set",1,73,,,,,"http://images.brickset.com/sets/images/2186-1.jpg","No","No",0
824,"2187","1","Freestyle","","1997","Freestyle Set",1,60,,,,,"http://images.brickset.com/sets/images/2187-1.jpg","No","No",0
825,"2188","1","Freestyle","","1997","Freestyle Set",1,56,,,,,"http://images.brickset.com/sets/images/2188-1.jpg","No","No",0
6898,"2189","1","Duplo","","1997","Pony Set",,3,,,,,,"No","No",0
5018,"2195","1","Basic","","1997","JUBEL 3+ BULK",,228,,,,,,"No","No",0
22460,"2199","1","Basic","","1997","Large Bulk Bucket",,466,,,,,,"No","No",0
837,"2241","1","Duplo","","1997","Basic Set",,32,,,,,"http://images.brickset.com/sets/images/2241-1.jpg","No","No",0
838,"2242","1","Duplo","","1997","Extra Bricks (S)",,50,,,,,"http://images.brickset.com/sets/images/2242-1.jpg","No","No",0
839,"2245","1","Duplo","","1997","Farmhouse Bucket",1,46,,,,,,"No","No",0
22461,"2246","1","Duplo","","1997","Large Basic Set",,,,,,,,"No","No",0
840,"2247","1","Duplo","","1997","Extra Bricks (M)",,99,,,,,"http://images.brickset.com/sets/images/2247-1.jpg","No","No",0
22540,"2249","1","Duplo","","1997","Basic Set",,,,,,,,"No","No",0
843,"2251","1","Duplo","","1997","Horse 'n' Home",,72,,,,,,"No","No",0
844,"2252","1","Duplo","","1997","Basic Cannister Set",1,36,,,,,,"No","No",0
846,"2261","1","Duplo","","1997","Happy Gardener",1,10,,4,,,"http://images.brickset.com/sets/images/2261-1.jpg","No","No",0
22463,"2262","1","Duplo","","1997","Basic Set",1,20,,,,,,"No","No",0
22462,"2264","1","Duplo","","1997","Medium Bucket",1,48,,,,,,"No","No",0
22464,"2265","1","Duplo","","1997","Large Puppy Clearpack",,71,,,,,,"No","No",0
5800,"2266","1","Duplo","","1997","Extra Large Value Bucket",2,91,,20,,,"http://images.brickset.com/sets/images/2266-1.jpg","No","No",0
22465,"2581","1","Duplo","","1997","School Bus",,70,,,,,,"No","No",0
957,"2601","1","Duplo","","1997","Mother & Baby",,7,,7,,,,"No","No",0
958,"2602","1","Duplo","","1997","Family Home",2,27,,18,,,,"No","No",0
649,"2603","1","Duplo","","1997","Dinosaur Tub",2,70,,20,,,"http://images.brickset.com/sets/images/2603-1.jpg","No","No",0
959,"2604","1","Duplo","","1997","Dino World",4,58,,70,,,,"No","No",0
545,"2605","1","Duplo","","1997","Dinosaur Park",4,42,,40,,,,"No","No",0
960,"2606","1","Duplo","","1997","Dump Truck",1,6,,8.75,,,"http://images.brickset.com/sets/images/2606-1.jpg","No","No",0
961,"2607","1","Duplo","","1997","Speed Car",1,4,,,,,"http://images.brickset.com/sets/images/2607-1.jpg","No","No",0
9344,"2684","1","Duplo","","1997","Dinghy",1,3,,,,,"http://images.brickset.com/sets/images/2684-1.jpg","No","No",0
1035,"2687","1","Duplo","","1997","Harbour",3,47,,52,,,,"No","No",0
5010,"2761","1","Duplo","","1997","Pony Stables",2,41,,20,,,,"No","No",0
5011,"2762","1","Duplo","","1997","Family Fun Playground",3,46,,27,,,,"No","No",0
1120,"2805","1","Duplo","","1997","Pony Club",2,13,,,,,,"No","No",0
1121,"2806","1","Duplo","","1997","Dino Mini Set",1,4,,3,,,"http://images.brickset.com/sets/images/2806-1.jpg","No","No",0
1138,"2840","1","Basic","","1997","Girl",,10,,,,,"http://images.brickset.com/sets/images/2840-1.jpg","No","No",0
1139,"2841","1","Basic","","1997","Boy",,9,,,,,"http://images.brickset.com/sets/images/2841-1.jpg","No","No",0
8142,"2842","1","Basic","","1997","Girl",,8,,,,,"http://images.brickset.com/sets/images/2842-1.jpg","No","No",0
22466,"2844","1","Basic","","1997","Doggy",,8,,,,,,"No","No",0
1140,"2845","1","Western","Indians","1997","Indian Chief",1,20,0,0,,,"http://images.brickset.com/sets/images/2845-1.jpg","No","No",0
1141,"2846","1","Western","Indians","1997","Indian Kayak",1,18,0,0,,,"http://images.brickset.com/sets/images/2846-1.jpg","No","No",0
1142,"2847","1","Space","UFO","1997","Flyer",1,15,,,,,"http://images.brickset.com/sets/images/2847-1.jpg","No","No",0
1143,"2848","1","Castle","Fright Knights","1997","Flying Machine",1,19,,,,,"http://images.brickset.com/sets/images/2848-1.jpg","No","No",0
1144,"2849","1","Town","Flight","1997","Helicopter",1,20,,,,,"http://images.brickset.com/sets/images/2849-1.jpg","No","No",0
22541,"2851","1","Duplo","","1997","Medium Dino Bucket",1,31,,,,,,"No","No",0
22542,"2852","1","Duplo","","1997","Large Dino Bucket",2,57,,,,,,"No","No",0
1150,"2870","1","Town","Paradisa","1997","Paradisa Barbeque",1,19,,,,,"http://images.brickset.com/sets/images/2870-1.jpg","No","No",0
1151,"2871","1","Town","Divers","1997","Diver and Shark",1,16,,,,,"http://images.brickset.com/sets/images/2871-1.jpg","No","No",0
1152,"2872","1","Castle","Fright Knights","1997","Witch and Fireplace",1,19,,,,,"http://images.brickset.com/sets/images/2872-1.jpg","No","No",0
7058,"2873","1","Basic","Seasonal","1997","Christmas Set",,9,,,,,"http://images.brickset.com/sets/images/2873-1.jpg","No","No",0
22543,"2874","1","Basic","Seasonal","1997","Christmas Set",,9,,,,,"http://images.brickset.com/sets/images/2874-1.jpg","No","No",0
8141,"2875","1","Basic","","1997","Mouse",,9,,,,,"http://images.brickset.com/sets/images/2875-1.jpg","No","No",0
7059,"2876","1","Basic","Seasonal","1997","Christmas Set",,9,,,,,"http://images.brickset.com/sets/images/2876-1.jpg","No","No",0
8143,"2877","1","Basic","","1997","Snowman",,9,,,,,"http://images.brickset.com/sets/images/2877-1.jpg","No","No",0
1153,"2878","1","Basic","Seasonal","1997","Santa Claus",,16,,2,,,"http://images.brickset.com/sets/images/2878-1.jpg","No","No",0
1155,"2880","1","Town","Vehicles","1997","Open-Top Jeep",,29,,,,,"http://images.brickset.com/sets/images/2880-1.jpg","No","No",0
1156,"2881","1","Town","Vehicles","1997","Parking Gate Attendant",1,19,,,,,"http://images.brickset.com/sets/images/2881-1.jpg","No","No",0
1157,"2882","1","Town","Boats","1997","Speedboat",1,22,,,,,"http://images.brickset.com/sets/images/2882-1.jpg","No","No",0
1158,"2883","1","Town","Boats","1997","Boat",,28,,,,,"http://images.brickset.com/sets/images/2883-1.jpg","No","No",0
1159,"2884","1","Town","Flight","1997","Microlight",1,20,,,,,"http://images.brickset.com/sets/images/2884-1.jpg","No","No",0
1160,"2885","1","Town","Shops and Services","1997","Ice Cream Seller",1,27,,,,,"http://images.brickset.com/sets/images/2885-1.jpg","No","No",0
1161,"2886","1","Town","Racing","1997","Formula 1 Racing Car",,25,,2,,,"http://images.brickset.com/sets/images/2886-1.jpg","No","No",0
1162,"2887","1","Town","Shops and Services","1997","Petrol Station Attendant and Pump",1,15,,,,,"http://images.brickset.com/sets/images/2887-1.jpg","No","No",0
1384,"3200","1","Scala","","1997","Beauty Studio",1,31,,16.5,,,"http://images.brickset.com/sets/images/3200-1.jpg","No","No",0
1385,"3201","1","Scala","","1997","Living Room",1,31,,,,,"http://images.brickset.com/sets/images/3201-1.jpg","No","No",0
1386,"3202","1","Scala","","1997","Laundry Room",1,42,,,,,"http://images.brickset.com/sets/images/3202-1.jpg","No","No",0
1387,"3203","1","Scala","","1997","Dressing Table",1,18,,,,,"http://images.brickset.com/sets/images/3203-1.jpg","No","No",0
1407,"3240","1","Scala","","1997","Ashley's Miniature Garden",1,54,,,,,"http://images.brickset.com/sets/images/3240-1.jpg","No","No",0
1408,"3241","1","Scala","","1997","Nursery",2,54,,22,,,"http://images.brickset.com/sets/images/3241-1.jpg","No","No",0
1409,"3242","1","Scala","","1997","Bathroom",1,76,,,,,"http://images.brickset.com/sets/images/3242-1.jpg","No","No",0
1410,"3243","1","Scala","","1997","Kitchen",2,92,,26.5,,,"http://images.brickset.com/sets/images/3243-1.jpg","No","No",0
1422,"3270","1","Scala","","1997","Dream Cottage",1,120,,76,,,"http://images.brickset.com/sets/images/3270-1.jpg","No","No",0
1440,"3290","1","Scala","","1997","The Big Family House",3,265,,,,,"http://images.brickset.com/sets/images/3290-1.jpg","No","No",0
4992,"4055","1","Freestyle","","1997","Value Bucket Medium",,322,,10,,,"http://images.brickset.com/sets/images/4055-1.jpg","No","No",0
4991,"4128","1","Freestyle","","1997","XL Value Bucket",,650,,,,,"http://images.brickset.com/sets/images/4128-1.jpg","No","No",0
4984,"4129","1","Freestyle","","1997","Trial Size Bag",,27,,1.5,,,,"No","No",0
1973,"4137","1","Freestyle","","1997","Freestyle Clearpack (S), 3+",,131,,15,,,,"No","No",0
4986,"4138","1","Freestyle","","1997","Value Set with Carry Bag",,400,,20,,,,"No","No",0
1974,"4139","1","Freestyle","","1997","Freestyle Bucket, 3+",,249,,23,,,"http://images.brickset.com/sets/images/4139-1.jpg","No","No",0
4987,"4148","1","Freestyle","","1997","Large Clearpack",,220,,20,,,"http://images.brickset.com/sets/images/4148-1.jpg","No","No",0
4989,"4157","1","Freestyle","","1997","Trial Size Bag 5+",,34,,1.5,,,,"No","No",0
