SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
5740,"2159","1","Trains","9 V","2006","9V Train Track Starter Collection",,24,,29.99,,,"http://images.brickset.com/sets/images/2159-1.jpg","No","No",0
5308,"2598","1","Duplo","","2006","Large Red Building Plate",,1,7.35,14.99,,,"http://images.brickset.com/sets/images/2598-1.jpg","No","No",0
5343,"2928","1","City","Airport","2006","Airline Promotional Set",2,141,,,,,"http://images.brickset.com/sets/images/2928-1.jpg","No","No",0
5346,"3191","1","Duplo","","2006","Anniversary Bucket",,103,14.99,,,,"http://images.brickset.com/sets/images/3191-1.jpg","No","No",0
6128,"3191","2","Duplo","","2006","Yellow Half-Tub, Special Edition",,103,14.99,15,,,"http://images.brickset.com/sets/images/3191-2.jpg","No","No",0
9691,"3192","1","Clikits","","2006","Cool Friends Clips & Pad",,,,,,,,"No","No",0
5439,"3298","1","Duplo","Bob the Builder","2006","Lift and Load Sumsy",,12,9.99,10,,,"http://images.brickset.com/sets/images/3298-1.jpg","No","No",0
5440,"3299","1","Duplo","Bob the Builder","2006","Scrambler and Dizzy at Bob's Workshop",1,50,24.99,19.99,,,"http://images.brickset.com/sets/images/3299-1.jpg","No","No",0
5076,"3300","1","Duplo","Thomas the Tank Engine","2006","Harold the Helicopter",,7,9.99,10,,,"http://images.brickset.com/sets/images/3300-1.jpg","No","No",0
5227,"3301","1","Duplo","Thomas the Tank Engine","2006","Cranky-Loading Crane",,34,19.99,20,,,"http://images.brickset.com/sets/images/3301-1.jpg","No","No",0
5119,"3568","1","Sports","Football","2006","Soccer Target Practice",2,26,,,,,"http://images.brickset.com/sets/images/3568-1.jpg","No","No",0
5120,"3569","1","Sports","Football","2006","Grand Soccer Stadium",14,386,29.99,50,,,"http://images.brickset.com/sets/images/3569-1.jpg","No","No",0
5398,"3570","1","Sports","Football","2006","Street Soccer",4,199,,20,,,"http://images.brickset.com/sets/images/3570-1.jpg","No","No",0
5327,"3825","1","SpongeBob SquarePants","","2006","Krusty Krab",3,295,19.99,19.99,,,"http://images.brickset.com/sets/images/3825-1.jpg","No","No",0
5328,"3826","1","SpongeBob SquarePants","","2006","Build-A-Bob",1,445,24.99,29.99,,,"http://images.brickset.com/sets/images/3826-1.jpg","No","No",0
5329,"3827","1","SpongeBob SquarePants","","2006","Adventures in Bikini Bottom",3,579,34.99,39.99,,,"http://images.brickset.com/sets/images/3827-1.jpg","No","No",0
5362,"3828","1","Avatar The Last Airbender","","2006","Air Temple",4,400,24.99,30,,,"http://images.brickset.com/sets/images/3828-1.jpg","No","No",0
5361,"3829","1","Avatar The Last Airbender","","2006","Fire Nation Ship",5,722,39.99,50,,,"http://images.brickset.com/sets/images/3829-1.jpg","No","No",0
5689,"4085","3","Duplo","","2006","Duplo Bucket",1,75,14.99,10,,,"http://images.brickset.com/sets/images/4085-3.jpg","No","No",0
7692,"4105","3","Make and Create","","2006","Red Bucket",1,487,,10,,,"http://images.brickset.com/sets/images/4105-3.jpg","No","No",0
5741,"4206","1","Trains","9 V","2006","9V Train Switching Track Collection",,27,,44.99,,,"http://images.brickset.com/sets/images/4206-1.jpg","No","No",0
5165,"4415","1","Creator","X-Pod","2006","Auto Pod",,56,2.99,3.49,,,"http://images.brickset.com/sets/images/4415-1.jpg","No","No",0
5166,"4416","1","Creator","X-Pod","2006","Robo Pod",,65,2.99,3.49,,,"http://images.brickset.com/sets/images/4416-1.jpg","No","No",0
5167,"4417","1","Creator","X-Pod","2006","Aero Pod",,60,2.99,3.5,,,"http://images.brickset.com/sets/images/4417-1.jpg","No","No",0
5168,"4418","1","Creator","X-Pod","2006","Dino Pod",,55,2.99,3.5,,,"http://images.brickset.com/sets/images/4418-1.jpg","No","No",0
5307,"4496","3","Make and Create","","2006","Fun With Building Tub",2,805,19.99,,,,"http://images.brickset.com/sets/images/4496-3.jpg","No","No",0
5169,"4891","1","Creator","","2006","Highway Haulers",,209,9.99,9.99,,,"http://images.brickset.com/sets/images/4891-1.jpg","No","No",0
5170,"4892","1","Creator","","2006","Prehistoric Power",,380,14.99,19.99,,,"http://images.brickset.com/sets/images/4892-1.jpg","No","No",0
5311,"4893","1","Creator","","2006","Revvin' Riders",,360,19.99,20,,,"http://images.brickset.com/sets/images/4893-1.jpg","No","No",0
5312,"4894","1","Creator","","2006","Mythical Creatures",,588,24.99,29.99,,,"http://images.brickset.com/sets/images/4894-1.jpg","No","No",0
5313,"4895","1","Creator","","2006","Motion Power",,611,39.99,49.99,,,"http://images.brickset.com/sets/images/4895-1.jpg","No","No",0
5314,"4896","1","Creator","","2006","Roaring Roadsters",,931,34.99,60,,,"http://images.brickset.com/sets/images/4896-1.jpg","No","No",0
5484,"4947","1","Racers","Tiny Turbos","2006","Yellow Sports Car",,28,,,,,"http://images.brickset.com/sets/images/4947-1.jpg","No","No",0
5485,"4948","1","Racers","Tiny Turbos","2006","Red Racer",,22,,,,,"http://images.brickset.com/sets/images/4948-1.jpg","No","No",0
