SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
125,"106","1","Town","Special","1985","UNICEF Van",1,59,,,,,"http://images.brickset.com/sets/images/106-1.jpg","No","No",0
129,"107","2","Town","Special","1985","Mail Truck",1,31,,,,,"http://images.brickset.com/sets/images/107-2.jpg","No","No",0
708,"200","2","Gear","Books/Ideas book","1985","Building Ideas Book",,,,,,,"http://images.brickset.com/sets/images/200-2.jpg","No","No",0
22560,"293","2","Basic","","1985","Basic Building Set",,,,,,,,"No","No",0
1267,"304","1","Basic","","1985","Basic Building Set, 3+",,31,,,,,,"No","No",0
1301,"308","2","Basic","","1985","Basic Building Set, 3+",,30,,,,,,"No","No",0
1317,"310","4","Basic","","1985","Basic Building Set, 3+",,46,,,,,,"No","No",0
1383,"320","1","Basic","","1985","Basic Building Set, 3+",1,77,,,,,"http://images.brickset.com/sets/images/320-1.jpg","No","No",0
1441,"330","1","Basic","","1985","Basic Building Set, 3+",2,156,,,,,"http://images.brickset.com/sets/images/330-1.jpg","No","No",0
1501,"340","1","Basic","","1985","Basic Building Set, 3+",2,214,,,,,"http://images.brickset.com/sets/images/340-1.jpg","No","No",0
1599,"350","2","Basic","","1985","Basic Building Set, 3+",4,311,,,,,,"No","No",0
2430,"504","1","Basic","","1985","Basic Building Set, 5+",,41,,,,,,"No","No",0
2472,"508","1","Basic","","1985","Basic Building Set, 5+",,66,,,,,"http://images.brickset.com/sets/images/508-1.jpg","No","No",0
2493,"510","1","Basic","","1985","Basic Building Set, 5+",,98,,,,,"http://images.brickset.com/sets/images/510-1.jpg","No","No",0
2594,"520","1","Basic","","1985","Basic Building Set, 5+",1,165,,,,,"http://images.brickset.com/sets/images/520-1.jpg","No","No",0
2691,"530","1","Basic","","1985","Basic Building Set, 5+",2,269,,,,,"http://images.brickset.com/sets/images/530-1.jpg","No","No",0
2753,"540","1","Basic","","1985","Basic Building Set, 5+",2,626,,,,,"http://images.brickset.com/sets/images/540-1.jpg","No","No",0
2795,"550","1","Basic","","1985","Basic Building Set, 5+",2,569,,,,,"http://images.brickset.com/sets/images/550-1.jpg","No","No",0
3834,"720","1","Basic","","1985","Basic Building Set, 7+",1,334,,,,,"http://images.brickset.com/sets/images/720-1.jpg","No","No",0
3877,"730","2","Basic","","1985","Basic Building Set, 7+",2,429,,,,,"http://images.brickset.com/sets/images/730-2.jpg","No","No",0
3913,"740","1","Basic","","1985","Basic Building Set, 7+",,516,,,,,"http://images.brickset.com/sets/images/740-1.jpg","No","No",0
10171,"783","1","Gear","Storage","1985","Storage Case",,,,,,,"http://images.brickset.com/sets/images/783-1.jpg","No","No",0
4125,"810","1","Basic","Supplementaries","1985","Basic Motor Set",,34,,26.5,,,"http://images.brickset.com/sets/images/810-1.jpg","No","No",0
4520,"895","1","Basic","Supplementaries","1985","Wind-Up Motor",,10,,9.5,,,"http://images.brickset.com/sets/images/895-1.jpg","No","No",0
7815,"1013","1","Dacta","","1985","Numbers - 6 symbols",,,,,,,"http://images.brickset.com/sets/images/1013-1.jpg","No","No",0
7817,"1015","1","Dacta","","1985","Letters Large",,192,,,,,"http://images.brickset.com/sets/images/1015-1.jpg","No","No",0
7818,"1016","1","Dacta","","1985","Letter Bricks for Wall Board",,,,,,,"http://images.brickset.com/sets/images/1016-1.jpg","No","No",0
7820,"1018","1","Dacta","","1985","Letters Small",,,,,,,"http://images.brickset.com/sets/images/1018-1.jpg","No","No",0
7826,"1024","1","Dacta","","1985","Animals - 32 elements",,32,,,,,,"No","No",0
7827,"1025","1","Dacta","","1985","Figures and Furniture",6,35,,,,,"http://images.brickset.com/sets/images/1025-1.jpg","No","No",0
