SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
24063,"10246","1","Advanced Models","Modular Buildings","2015","Detective's Office",6,2262,132.99,159.99,199.99,149.99,"http://images.brickset.com/sets/images/10246-1.jpg","No","No",0
24153,"10247","1","Advanced Models","Miscellaneous","2015","Ferris Wheel",,,,,,,,"No","No",0
24154,"10248","1","Speed Champions","","2015","Ferrari F40",,,,,,,,"No","No",0
24156,"10249","1","Advanced Models","Winter Village","2015","{Winter Village set for 2015}",,,,,,,,"No","No",0
24076,"10581","1","Duplo","Forest Animals","2015","Ducks",1,,9.99,9.99,12.99,9.99,"http://images.brickset.com/sets/images/10581-1.jpg","No","No",0
24077,"10582","1","Duplo","Forest Animals","2015","Animals",,,16.99,19.99,24.99,19.99,"http://images.brickset.com/sets/images/10582-1.jpg","No","No",0
24078,"10583","1","Duplo","Forest Animals","2015","Fishing Trip",,32,19.99,24.99,29.99,24.99,"http://images.brickset.com/sets/images/10583-1.jpg","No","No",0
24079,"10584","1","Duplo","Forest Animals","2015","Forest",,,49.99,59.99,69.99,59.99,"http://images.brickset.com/sets/images/10584-1.jpg","No","No",0
23989,"10585","1","Duplo","","2015","Mom and Baby",2,13,8.99,9.99,12.99,9.99,"http://images.brickset.com/sets/images/10585-1.jpg","No","No",0
23990,"10586","1","Duplo","","2015","Ice Cream Truck",,11,12.99,14.99,14.99,14.99,"http://images.brickset.com/sets/images/10586-1.jpg","No","No",0
23991,"10587","1","Duplo","","2015","Café",3,52,17.99,19.99,24.99,19.99,"http://images.brickset.com/sets/images/10587-1.jpg","No","No",0
24000,"10589","1","Duplo","","2015","Rally Car",1,13,12.99,14.99,14.99,14.99,"http://images.brickset.com/sets/images/10589-1.jpg","No","No",0
23992,"10590","1","Duplo","","2015","Airport",,29,16.99,19.99,24.99,19.99,"http://images.brickset.com/sets/images/10590-1.jpg","No","No",0
23993,"10594","1","Duplo","","2015","Sofia the First Royal Stable",,38,19.99,24.99,29.99,24.99,"http://images.brickset.com/sets/images/10594-1.jpg","No","No",0
23994,"10595","1","Duplo","","2015","Sofia the First Royal Castle",,87,39.99,49.99,49.99,49.99,"http://images.brickset.com/sets/images/10595-1.jpg","No","No",0
23988,"10596","1","Duplo","Disney Princess","2015","Disney Princess Collection",,63,34.99,39.99,44.99,39.99,"http://images.brickset.com/sets/images/10596-1.jpg","No","No",0
23995,"10600","1","Duplo","Cars","2015","Classic Race",,29,20.99,24.99,29.99,24.99,"http://images.brickset.com/sets/images/10600-1.jpg","No","No",0
23996,"10615","1","Duplo","","2015","My First Tractor",2,12,9.99,14.99,14.99,14.99,"http://images.brickset.com/sets/images/10615-1.jpg","No","No",0
23997,"10616","1","Duplo","","2015","My First Playhouse",2,25,14.99,19.99,19.99,19.99,"http://images.brickset.com/sets/images/10616-1.jpg","No","No",0
23998,"10617","1","Duplo","","2015","My First Farm",2,26,14.99,19.99,19.99,19.99,"http://images.brickset.com/sets/images/10617-1.jpg","No","No",0
23999,"10618","1","Duplo","","2015","Creative Building Box",2,70,19.99,24.99,,24.99,"http://images.brickset.com/sets/images/10618-1.jpg","No","No",0
24001,"10677","1","Juniors","","2015","Beach Trip",1,74,9.99,9.99,12.99,9.99,"http://images.brickset.com/sets/images/10677-1.jpg","No","No",0
24002,"10679","1","Juniors","Pirates","2015","Pirate Treasure Hunt",2,57,9.99,9.99,12.99,9.99,"http://images.brickset.com/sets/images/10679-1.jpg","No","No",0
24003,"10680","1","Juniors","","2015","Garbage Truck",,99,15.99,19.99,24.99,19.99,"http://images.brickset.com/sets/images/10680-1.jpg","No","No",0
